"OBJECT           ","OTHER             ","TYPE ","CON","RA     ","DEC   ","MAG ","SUBR","U2K","TI","SIZE_MAX","SIZE_MIN","PA ","CLASS      ","NSTS","BRSTR","BCHM","NGC DESCR                                              ","NOTES                                                                                 "
"NGC 1360         ","PK 220-53.1       ","PLNNB","FOR","03 33.2","-25 52"," 9.4","13.7","312","18"," 360   s"," 270   s","   ","3          ","    ","11.3 ","    ","*8in B;L neb;E ns                                      ","                                                                                      "
"NGC 1365         ","ESO 358-17        ","GALXY","FOR","03 33.6","-36 08"," 9.6","14.1","355","18","  11   m","   6.2 m","32 ","SBb        ","    ","     ","    ","!!;vB;vL;mE;BN                                         ","Best example of barred spiral;Fornax Galaxy Cluster member                            "
"NGC 1366         ","ESO 418-10        ","GALXY","FOR","03 33.9","-31 12","12.0","12.6","355","18","   2.1 m","   0.9 m","2  ","SO         ","    ","     ","    ","vF;S;iF;lbM                                            ","H III 857                                                                             "
"NGC 1367         ","NGC 1371          ","GALXY","FOR","03 35.0","-24 56","11.6","99.9","312","18","   5.9 m","   3.8 m","135","SBa        ","    ","     ","    ","vF                                                     ","                                                                                      "
"NGC 1371         ","NGC 1367          ","GALXY","FOR","03 35.0","-24 56","10.7","13.9","312","18","   5.9 m","   3.8 m","135","SBa        ","    ","     ","    ","pB;pL;vlE;psbM                                         ","H II 262                                                                              "
"NGC 1373         ","ESO 358-21        ","GALXY","FOR","03 35.0","-35 10","13.3","13.2","355","18","   1.2 m","   0.9 m","131","Elliptical ","    ","     ","    ","eF;vS;p of 3                                           ","                                                                                      "
"NGC 1374         ","ESO 358-23        ","GALXY","FOR","03 35.3","-35 14","11.1","12.9","355","18","   2.7 m","   2.4 m","   ","E0         ","    ","     ","    ","vB;pL;lE;gmbM;2nd of 3                                 ","Fornax Galaxy Cluster member                                                          "
"NGC 1375         ","ESO 358-24        ","GALXY","FOR","03 35.3","-35 16","12.4","13  ","355","18","   2.3 m","   0.9 m","91 ","SBO        ","    ","     ","    ","B;S;lE;pmbM;3rd of 3                                   ","                                                                                      "
"NGC 1378         ","ESO 358-**30      ","NONEX","FOR","03 35.9","-35 13","99.9","99.9","355","18","        ","        ","   ","           ","    ","     ","    ","F                                                      ","                                                                                      "
"NGC 1379         ","ESO 358-27        ","GALXY","FOR","03 36.1","-35 26","10.9","12.8","355","18","   2.4 m","   2.3 m","   ","E0         ","    ","     ","    ","B;pL;R;gpmbM                                           ","Fornax Galaxy Cluster member                                                          "
"NGC 1380         ","ESO 358-28        ","GALXY","FOR","03 36.5","-34 59"," 9.9","12.4","355","18","   4.8 m","   2.9 m","7  ","SBO        ","    ","     ","    ","vB;L;R;psbM                                            ","Fornax Galaxy Cluster member                                                          "
"NGC 1381         ","ESO 358-29        ","GALXY","FOR","03 36.5","-35 18","11.5","12.1","355","18","   2.6 m","   0.8 m","139","SO         ","    ","     ","    ","F                                                      ","Fornax Galaxy Cluster member                                                          "
"NGC 1369         ","ESO 358-G034      ","GALXY","FOR","03 36.8","-36 15","12.7","13.4","355","18","   1.5 m","   1.4 m","12 ","SBO-a      ","    ","     ","    ","F                                                      ","                                                                                      "
"NGC 1380A        ","ESO 358-33        ","GALXY","FOR","03 36.8","-34 44","12.4","12.8","355","18","   2.4 m","   0.7 m","179","SO         ","    ","     ","    ","                                                       ","                                                                                      "
"NGC 1387         ","ESO 358-36        ","GALXY","FOR","03 37.0","-35 30","10.7","12.8","355","18","   3.2 m","   3.1 m","   ","SO         ","    ","     ","    ","vB;pL;R;gmbM                                           ","Fornax Galaxy Cluster member                                                          "
"NGC 1380B        ","NGC 1382          ","GALXY","FOR","03 37.2","-35 12","13.0","99.9","355","18","   1.5 m","   1.3 m","   ","E-S0  B    ","    ","     ","    ","                                                       ","                                                                                      "
"NGC 1382         ","NGC 1380B         ","GALXY","FOR","03 37.2","-35 12","12.9","13.5","355","18","   1.5 m","   1.3 m","   ","E-SO Bar   ","    ","     ","    ","F                                                      ","                                                                                      "
"NGC 1385         ","ESO 482-16        ","GALXY","FOR","03 37.5","-24 30","10.9","12.9","312","18","   3.6 m","   2.2 m","165","SBc        ","    ","     ","    ","pB;pS;R;gpmbM                                          ","H II 263                                                                              "
"NGC 1399         ","ESO 358-45        ","GALXY","FOR","03 38.5","-35 27"," 9.6","13.7","355","18","   6.6 m","   6.1 m","   ","E1p        ","    ","     ","    ","vB;pL;psbM;rr                                          ","Fornax Galaxy Cluster member                                                          "
"NGC 1398         ","ESO 482-22        ","GALXY","FOR","03 38.9","-26 20"," 9.7","13.5","312","18","   7.2 m","   5.2 m","100","SBab       ","    ","     ","    ","cB;cL;R;vmbM                                           ","                                                                                      "
"NGC 1404         ","ESO 358-46        ","GALXY","FOR","03 38.9","-35 36","10.0","12.5","355","18","   3.9 m","   3.3 m","   ","E1         ","    ","     ","    ","vB;pL;R;psmbM                                          ","Fornax Galaxy Cluster member                                                          "
"NGC 1408         ","ESO 358-?48       ","NONEX","FOR","03 39.3","-35 31","99.9","99.9","355","18","        ","        ","   ","           ","    ","     ","    ","F                                                      ","                                                                                      "
"NGC 1406         ","ESO 418-15        ","GALXY","FOR","03 39.4","-31 19","11.8","12.8","355","18","   3.9 m","   0.7 m","15 ","SBbc       ","    ","     ","    ","F;cL;vmE;vglbM;*7 np                                   ","                                                                                      "
"NGC 1412         ","ESO 482-G029      ","GALXY","FOR","03 40.5","-26 52","12.5","12.8","312","18","   1.8 m","   0.7 m","131","SBO        ","    ","     ","    ","F;S;E;gbM;* sf 2'                                      ","                                                                                      "
"NGC 1425         ","ESO 419- 4        ","GALXY","FOR","03 42.2","-29 54","10.6","13.4","356","18","   5.8 m","   2.5 m","129","Sb         ","    ","     ","    ","F;pL;iR;gbM                                            ","H II 852                                                                              "
"NGC 1427         ","ESO 358-52        ","GALXY","FOR","03 42.3","-35 24","10.9","13.2","356","18","   3.8 m","   2.6 m","76 ","E3         ","    ","     ","    ","pF;S;R;psmbM                                           ","Fornax Galaxy Cluster member                                                          "
"NGC 1428         ","ESO 358-53        ","GALXY","FOR","03 42.4","-35 09","12.7","12.9","356","18","   1.6 m","   0.8 m","118","SO         ","    ","     ","    ","F                                                      ","                                                                                      "
"NGC 1459         ","ESO 482-43        ","GALXY","FOR","03 47.0","-25 31","12.8","13.4","312","18","   1.7 m","   1.1 m","167","SBbc       ","    ","     ","    ","eF;pS;gbM                                              ","                                                                                      "
"NGC 2129         ","OCL  467          ","OPNCL","GEM","06 00.7","+23 19"," 6.7","99.9","136","5 ","   7   m","        ","   ","III 3 p    ","40  "," 7.4 ","  H ","Cl;pL;40 or 50* 8...15                                 ","H VIII 26                                                                             "
"IC  2157         ","Cr  80            ","OPNCL","GEM","06 04.8","+24 04"," 8.4","99.9","136","5 ","   7   m","        ","   ","III 2 p    ","20  ","11.1 ","    ","Cl;S;about 20 F stars                                  ","                                                                                      "
"NGC 2158         ","OCL  468          ","OPNCL","GEM","06 07.4","+24 06"," 8.6","99.9","136","5 ","   5   m","        ","   ","II 3 r     ","    ","12.4 ","B H ","Cl;pS;mC;vRi;irr triangle * eS                         ","H VI 17;150 F* on edge of M 35                                                        "
"Sh2-247          ","LBN 843           ","BRTNB","GEM","06 08.5","+21 37","99.9","99.9","137","5 ","  10   m","  10   m","   ","E          ","    ","     ","    ","13''-eF;L;R; 5* invol at 100X with UHC filter          ","                                                                                      "
"NGC 2168         ","M  35             ","OPNCL","GEM","06 08.9","+24 21"," 5.1","12  ","137","5 ","  28   m","        ","   ","III 2 m    ","200 "," 8.2 ","   M","Cl;vL;eRi;pC;st9...16                                  ","Lord Rosse counted 300*;Orange * invl;NGC 2158 30' SW                                 "
"IC   443         ","LBN  844          ","SNREM","GEM","06 17.2","+22 31","12.0","99.9","137","5 ","  50   m","  40   m","170","           ","    ","     ","    ","F;narrow curved                                        ","vF;vL;arc 25'x5';filamentary structure                                                "
"Cr  89           ","                  ","OPNCL","GEM","06 18.0","+23 38"," 5.7","99.9","137","5 ","  35   m","        ","   ","IV 2 p n   ","15  ","     ","    ","11''-pB; vL; nC; not well detached at 60X              ","                                                                                      "
"IC   444         ","LBN  840          ","BRTNB","GEM","06 19.4","+23 17","99.9","99.9","137","5 ","   8   m","   4   m","   ","E          ","    ","     ","    ","Neb;* 9.5 inv                                          ","7th mag star (12 GEM) w faint neby;diam 4'                                            "
"NGC 2218         ","                  ","ASTER","GEM","06 24.7","+19 21","99.9","99.9","137","11","        ","        ","   ","           ","    ","     ","    ","F Cl                                                   ","                                                                                      "
"Bochum  1        ","                  ","OPNCL","GEM","06 25.5","+19 46"," 7.9","99.9","137","11","  26.0 m","        ","   ","           ","8   "," 8.4 ","    ","                                                       ","                                                                                      "
"PK 194+ 2.1      ","J 900             ","PLNNB","GEM","06 26.0","+17 47","12.4","7.7 ","137","11","  12   s","  10   s","   ","3b(2)      ","    ","17.8 ","    ","vS;B                                                   ","nearly stellar                                                                        "
"NGC 2224         ","                  ","ASTER","GEM","06 27.5","+12 36","99.9","99.9","182","11","        ","        ","   ","           ","    ","     ","    ","Cl;pC;w neb?                                           ","H VII 35                                                                              "
"NGC 2234         ","                  ","ASTER","GEM","06 29.4","+16 43","99.9","99.9","182","11","  25   m","        ","   ","           ","    ","     ","    ","Cl;eL;pRi;lC;st L & S                                  ","H VIII  9                                                                             "
"Berk  23         ","                  ","OPNCL","GEM","06 33.3","+20 32","99.9","99.9","137","5 ","   4   m","        ","   ","III 1m:b   ","25  ","15   ","    ","                                                       ","                                                                                      "
"NGC 2248         ","                  ","ASTER","GEM","06 34.6","+26 18","99.9","99.9","137","5 ","        ","        ","   ","           ","    ","     ","    ","small cluster                                          ","                                                                                      "
"PK 189+ 7.1      ","M1- 7             ","PLNNB","GEM","06 37.4","+24 01","13.0","9.3 ","137","5 ","  38   s","  20   s","140","2          ","    ","19.6 ","    ","13''-pB; pS; lE 1.2X1 in PA 135; in rich FOV           ","9 mag * 40'' NW                                                                       "
"NGC 2265         ","                  ","ASTER","GEM","06 41.7","+11 54","99.9","99.9","183","12","        ","        ","   ","           ","    ","     ","    ","Cl;P;30 or 40* 12...13                                 ","                                                                                      "
"NGC 2266         ","OCL  471          ","OPNCL","GEM","06 43.3","+26 58"," 9.5","99.9","138","5 ","   7   m","        ","   ","II 2 m     ","50  ","11   ","  H ","Cl;pS;eC;Ri;st 11..15                                  ","H VI 21                                                                               "
"NGC 2274         ","UGC  3541         ","GALXY","GEM","06 47.3","+33 34","12.1","13.2","99 ","5 ","   2.4 m","   2.4 m","   ","Elliptical ","    ","     ","    ","F;S;bM                                                 ","H II 615;brightest of 4;disturbed                                                     "
"NGC 2275         ","UGC  3542         ","GALXY","GEM","06 47.3","+33 36","13.1","13.1","99 ","5 ","   1.3 m","   0.9 m","20 ","Sab        ","    ","     ","    ","eF;vS                                                  ","H II 614;distorted                                                                    "
"NGC 2277         ","                  ","ASTER","GEM","06 47.8","+33 27","99.9","99.9","99 ","5 ","        ","        ","   ","           ","    ","     ","    ","Cl;vS;lRi                                              ","                                                                                      "
"NGC 2278         ","                  ","2STAR","GEM","06 48.3","+33 24","99.9","99.9","99 ","5 ","        ","        ","   ","           ","    ","     ","    ","vF;vS                                                  ","                                                                                      "
"NGC 2279         ","                  ","3STAR","GEM","06 48.4","+33 25","99.9","99.9","99 ","5 ","        ","        ","   ","           ","    ","     ","    ","vF;vS;stellar Nucl;=2275?                              ","                                                                                      "
"NGC 2284         ","                  ","4STAR","GEM","06 49.2","+33 12","99.9","99.9","99 ","5 ","        ","        ","   ","           ","    ","     ","    ","F;r                                                    ","                                                                                      "
"NGC 2285         ","                  ","2STAR","GEM","06 49.6","+33 22","99.9","99.9","99 ","5 ","        ","        ","   ","           ","    ","     ","    ","eF;eS;r?                                               ","                                                                                      "
"NGC 2288         ","IC 2173           ","GALXY","GEM","06 50.9","+33 28","14.4","10.3","99 ","5 ","   0.2 m","   0.2 m","   ","Elliptical ","    ","     ","    ","eF;vS                                                  ","                                                                                      "
"NGC 2289         ","UGC  3560         ","GALXY","GEM","06 50.9","+33 29","13.2","12.7","99 ","5 ","   1.1 m","   0.6 m","125","SO         ","    ","     ","    ","cF;S;R                                                 ","H III 898;compact;brightest in NGC 2289-2290 group                                    "
"NGC 2290         ","UGC  3562         ","GALXY","GEM","06 50.9","+33 26","13.2","13  ","99 ","5 ","   1.2 m","   0.7 m","50 ","Sa         ","    ","     ","    ","F;S;gbM                                                ","H III 897?;NGC 2289-2290 group                                                        "
"NGC 2291         ","ZwG 175. 20       ","GALXY","GEM","06 51.0","+33 32","13.2","13.1","99 ","5 ","   1   m","   1   m","   ","SO         ","    ","     ","    ","eF;vS;=IC 2173                                         ","H III 897?;compact IC 2173                                                            "
"NGC 2294         ","MCG   6-15- 14    ","GALXY","GEM","06 51.2","+33 32","13.8","13.8","99 ","5 ","   0.8 m","   0.4 m","10 ","E6         ","    ","     ","    ","eeF                                                    ","                                                                                      "
"Berk  29         ","                  ","OPNCL","GEM","06 53.1","+16 55","99.9","99.9","183","12","   4   m","        ","   ","I 1p :b    ","20  ","15   ","    ","                                                       ","                                                                                      "
"UGC  3587        ","PGC 19813         ","GALXY","GEM","06 53.8","+19 18","13.8","13.4","138","12","   2.8 m","   0.7 m","107","S          ","    ","     ","    ","                                                       ","                                                                                      "
"NGC 2304         ","OCL  484          ","OPNCL","GEM","06 55.2","+17 59","10.0","99.9","138","12","   5   m","        ","   ","II 1 p     ","30  ","     ","  H ","Cl;pL;Ri;mC;st vS                                      ","H VI  2                                                                               "
"PK 200+ 8.1      ","Abell 19          ","PLNNB","GEM","06 59.9","+14 37","17.0","16.6","183","12","  69.0 s","  59.0 s","   ","2b         ","    ","     ","    ","                                                       ","                                                                                      "
"NGC 2331         ","OCL  475          ","OPNCL","GEM","07 07.0","+27 16"," 8.5","99.9","138","5 ","  18   m","        ","   ","IV 1 p     ","30  "," 9   ","    ","Cl;L;vlC;S Cl inv                                      ","H VIII 40                                                                             "
"UGC  3691        ","PGC 20214         ","GALXY","GEM","07 08.0","+15 10","11.9","12.7","183","12","   2.2 m","   1.1 m","59 ","Sc         ","    ","     ","    ","                                                       ","several blue patches along edge                                                       "
"NGC 2339         ","UGC  3693         ","GALXY","GEM","07 08.3","+18 47","11.8","13.5","138","12","   2.7 m","   2   m","175","SBbc Ring  ","    ","     ","    ","pB;pL;R;glbM                                           ","H II 769;B nucleus in weak compl bar w dk.lanes;F knotty arms                         "
"NGC 2333         ","UGC  3689         ","GALXY","GEM","07 08.4","+35 10","13.3","12.7","100","5 ","   1   m","   0.7 m","35 ","Sa         ","    ","     ","    ","vF;S;R;bM                                              ","H III 899                                                                             "
"NGC 2341         ","UGC  3708         ","GALXY","GEM","07 09.2","+20 36","13.2","12.6","138","5 ","   0.8 m","   0.8 m","   ","Sc         ","    ","     ","    ","vF;vS                                                  ","peculiar                                                                              "
"NGC 2342         ","UGC  3709         ","GALXY","GEM","07 09.3","+20 38","12.6","13  ","138","5 ","   1.4 m","   1.3 m","126","Sc         ","    ","     ","    ","pF;S;lE;vlbM                                           ","distorted                                                                             "
"NGC 2355         ","NGC 2356          ","OPNCL","GEM","07 17.0","+13 45"," 9.7","99.9","184","12","   9   m","        ","   ","II 2 p     ","40  ","13   ","  H ","Cl;pS;pRi;mC;*15..16                                   ","H VI  6                                                                               "
"NGC 2356         ","NGC 2355          ","OPNCL","GEM","07 17.0","+13 45"," 9.7","99.9","184","12","   9   m","        ","   ","           ","    ","     ","    ","Cl;lC                                                  ","H VII  6                                                                              "
"NGC 2357         ","UGC  3782         ","GALXY","GEM","07 17.7","+23 21","13.3","13.7","139","5 ","   3.6 m","   0.5 m","122","Sc         ","    ","     ","    ","eF;L;mE;bM;F* inv                                      ","smaller companion                                                                     "
"UGC  3808        ","PGC 20744         ","GALXY","GEM","07 21.1","+25 09","14.1","14.3","139","5 ","   1.7 m","   0.9 m","50 ","SBd        ","    ","     ","    ","                                                       ","                                                                                      "
"NGC 2365         ","UGC  3821         ","GALXY","GEM","07 22.4","+22 05","12.4","13.4","139","5 ","   2.4 m","   1.3 m","170","SBa        ","    ","     ","    ","vF;pS;R;psbM                                           ","nnf of 2                                                                              "
"NGC 2370         ","UGC  3835         ","GALXY","GEM","07 25.0","+23 47","13.6","12.5","139","5 ","   0.8 m","   0.5 m","43 ","SBc        ","    ","     ","    ","eF;vS;E                                                ","                                                                                      "
"NGC 2371         ","NGC 2372          ","PLNNB","GEM","07 25.6","+29 29","11.2","10.5","100","5 ","  74   s","  54   s","   ","3a+6       ","    ","14.9 ","  H ","B;S;R;bMN;p of Dneb                                    ","H II 316;faint double-lobed planetary;use filter;PK189+19.1                           "
"NGC 2372         ","NGC 2371          ","PLNNB","GEM","07 25.6","+29 30","11.2","10.5","100","5 ","  74   s","  54   s","   ","3a(4)      ","    ","14.8 ","  H ","pB;S;R;bMN;f of Dneb                                   ","H II 317;faint double-lobed planetary;use filter;PK189+19.1                           "
"NGC 2373         ","UGC  3848         ","GALXY","GEM","07 26.6","+33 49","13.7","12.2","100","5 ","   0.6 m","   0.5 m","   ","Sbc        ","    ","     ","    ","eF;vS                                                  ","                                                                                      "
"NGC 2376         ","MCG   4-18- 17    ","GALXY","GEM","07 26.6","+23 04","14.5","99.9","139","5 ","   0.5 m","   0.5 m","   ","Sbc        ","    ","     ","    ","eF;vS                                                  ","                                                                                      "
"NGC 2375         ","UGC  3854         ","GALXY","GEM","07 27.2","+33 50","13.6","13.8","100","5 ","   1.3 m","   1   m","170","SBb        ","    ","     ","    ","eF;vS;2379 f 17s;1' s                                  ","NGC 2389 group                                                                        "
"NGC 2395         ","OCL  502          ","OPNCL","GEM","07 27.2","+13 37"," 8.0","99.9","184","12","  12   m","        ","   ","III 1 p    ","30  ","10   ","  H ","Cl;pRi;C                                               ","H VIII 11                                                                             "
"NGC 2378         ","                  ","2STAR","GEM","07 27.4","+33 50","99.9","99.9","100","5 ","        ","        ","   ","           ","    ","     ","    ","2 vF close st in eF neb;2379 f 2s;1' s                 ","                                                                                      "
"NGC 2379         ","UGC  3857         ","GALXY","GEM","07 27.4","+33 49","13.5","12.8","100","5 ","   0.8 m","   0.8 m","   ","SO         ","    ","     ","    ","vF;vS                                                  ","very compact;NGC 2389 group                                                           "
"NGC 2385         ","MCG   6-17-  8    ","GALXY","GEM","07 28.5","+33 50","15.0","99.9","100","5 ","   0.8 m","   0.4 m","50 ","S pec      ","    ","     ","    ","vF;vS;R;bM                                             ","H III 703                                                                             "
"NGC 2386         ","                  ","2STAR","GEM","07 28.6","+33 47","99.9","99.9","100","5 ","        ","        ","   ","           ","    ","     ","    ","stellar                                                ","                                                                                      "
"NGC 2388         ","UGC  3870         ","GALXY","GEM","07 28.9","+33 49","13.7","12.9","100","5 ","   1   m","   0.6 m","65 ","S          ","    ","     ","    ","vF;S;R;bM                                              ","H III 900;NGC 2389 group                                                              "
"PK 205+14.1      ","Abell 21          ","PLNNB","GEM","07 29.0","+13 15","11.3","16.4","184","12","  10   m","   6   m","   ","           ","    ","16.1 ","    ","13''-F;pL;E at 100X with UHC; crescent shape           ","Medusa nebula;large and low surface brightness                                        "
"NGC 2389         ","UGC  3872         ","GALXY","GEM","07 29.1","+33 52","12.9","13.9","100","5 ","   2   m","   1.4 m","83 ","SBc        ","    ","     ","    ","vF;S;R;psbM                                            ","H III 901;brightest in group;many knotty filam arms                                   "
"NGC 2390         ","                  ","1STAR","GEM","07 29.1","+33 50","99.9","99.9","100","5 ","        ","        ","   ","           ","    ","     ","    ","vF                                                     ","                                                                                      "
"NGC 2391         ","                  ","1STAR","GEM","07 29.1","+33 50","99.9","99.9","100","5 ","        ","        ","   ","           ","    ","     ","    ","eF                                                     ","                                                                                      "
"NGC 2392         ","PK 197+17.1       ","PLNNB","GEM","07 29.2","+20 55"," 8.6","6.8 ","139","5 ","  47   s","  43   s","   ","3b(3b)     ","    ","10.6 ","BCH ","B;S;R;*9M;*8 nf 100''                                  ","H IV 45;Clown Face or Eskimo Nebula;PK197+17.1;sev shells                             "
"NGC 2393         ","UGC  3884         ","GALXY","GEM","07 30.1","+34 02","14.0","13.8","100","5 ","   1.2 m","   0.8 m","103","Sc         ","    ","     ","    ","eF;pS;lE;dif;r?                                        ","NGC 2389 group                                                                        "
"NGC 2398         ","MCG   4-18- 23    ","GALXY","GEM","07 30.3","+24 29","15.5","99.9","139","5 ","   0.4 m","   0.3 m","140","S pec      ","    ","     ","    ","vF;eS;bM;Dneb?                                         ","double nebula                                                                         "
"NGC 2406         ","MCG   3-19- 21    ","GALXY","GEM","07 31.8","+18 17","15.0","99.9","139","12","   0.7 m","   0.6 m","   ","Elliptical ","    ","     ","    ","eF;eS;vSN?                                             ","                                                                                      "
"NGC 2407         ","UGC  3896         ","GALXY","GEM","07 31.9","+18 20","13.4","13.4","139","12","   1.1 m","   1   m","75 ","E-SO       ","    ","     ","    ","eF;eS;vSN?                                             ","brightest in group                                                                    "
"NGC 2405         ","MCG   4-18- 26    ","GALXY","GEM","07 32.2","+25 54","14.5","99.9","139","5 ","   0.5 m","   0.3 m","95 ","S          ","    ","     ","    ","vF;S;iR                                                ","                                                                                      "
"NGC 2411         ","UGC  3914         ","GALXY","GEM","07 34.6","+18 17","14.5","99.9","139","12","   0.9 m","   0.5 m","50 ","Elliptical ","    ","     ","    ","*14 slightly nebs                                      ","                                                                                      "
"NGC 2410         ","UGC  3917         ","GALXY","GEM","07 35.0","+32 49","13.0","13.4","100","5 ","   2.4 m","   0.7 m","31 ","SBb        ","    ","     ","    ","eF;vS;sev vf * inv                                     ","                                                                                      "
"NGC 2418         ","UGC  3931         ","GALXY","GEM","07 36.6","+17 53","12.2","13.4","139","12","   1.8 m","   1.8 m","   ","Elliptical ","    ","     ","    ","vF;eS;bM                                               ","slightly asym envelope;sev. vfaint companions                                         "
"NGC 2420         ","OCL  488          ","OPNCL","GEM","07 38.4","+21 34"," 8.3","99.9","139","5 ","  10   m","        ","   ","I 2 r      ","100 ","11.1 ","  H ","Cl;cL;Ri;C;st 11...18                                  ","H VI  1                                                                               "
"UGC  3974        ","PGC 21600         ","GALXY","GEM","07 41.9","+16 48","13.1","16.4","184","12","   3.1 m","   2.9 m","   ","Ir-        ","    ","     ","    ","                                                       ","                                                                                      "
"NGC 2435         ","UGC  3996         ","GALXY","GEM","07 44.2","+31 39","12.8","12.8","101","5 ","   2.2 m","   0.5 m","36 ","Sa         ","    ","     ","    ","F;S;lbM                                                ","H II 616                                                                              "
"NGC 2449         ","UGC  4026         ","GALXY","GEM","07 47.3","+26 56","13.4","13.1","140","5 ","   1.3 m","   0.6 m","137","Sab        ","    ","     ","    ","eF;eS;R;bM;r                                           ","                                                                                      "
"NGC 2450         ","MCG   5-19-  8    ","GALXY","GEM","07 47.5","+27 01","15.5","99.9","140","5 ","   0.9 m","   0.2 m","160","Sbc        ","    ","     ","    ","eF;vS;S* inv                                           ","                                                                                      "
"NGC 2454         ","UGC  4053         ","GALXY","GEM","07 50.6","+16 22","14.5","99.9","185","12","   0.8 m","   0.3 m","100","S          ","    ","     ","    ","vF;eS;R;bM                                             ","                                                                                      "
"NGC 2480         ","UGC  4116         ","GALXY","GEM","07 57.2","+23 47","13.7","13.4","140","5 ","   1.3 m","   0.7 m","160","SBcd       ","    ","     ","    ","vF;E np sf;close np 2481                               ","distorted                                                                             "
"NGC 2481         ","UGC  4118         ","GALXY","GEM","07 57.2","+23 46","12.9","12.4","140","5 ","   1.4 m","   0.5 m","18 ","Sa         ","    ","     ","    ","F;S;lE;bM;er                                           ","H II 302;distorted                                                                    "
"NGC 2486         ","UGC  4123         ","GALXY","GEM","07 57.9","+25 10","13.3","13.6","140","5 ","   1.7 m","   0.9 m","100","Sa         ","    ","     ","    ","vF;S;psbM                                              ","P w NGC 2487                                                                          "
"NGC 2487         ","UGC  4126         ","GALXY","GEM","07 58.3","+25 09","12.5","14.2","140","5 ","   2.7 m","   2.1 m","115","SBb        ","    ","     ","    ","vF;S;gbM                                               ","P w NGC 2486                                                                          "
"NGC 2490         ","MCG   5-19- 27    ","GALXY","GEM","07 59.3","+27 05","15.5","99.9","140","5 ","   0.6 m","   0.4 m","30 ","Compact    ","    ","     ","    ","vF;S;R;*13 1'f;p of 2                                  ","compact                                                                               "
"NGC 2492         ","UGC  4138         ","GALXY","GEM","07 59.5","+27 02","12.7","12.6","140","5 ","   1   m","   1   m","   ","E-SO       ","    ","     ","    ","vF;S;R;bM;f of 2                                       ","compact                                                                               "
"NGC 2498         ","UGC  4142         ","GALXY","GEM","07 59.6","+24 59","13.4","13.1","140","5 ","   1.1 m","   0.8 m","113","SBa        ","    ","     ","    ","vF;vS;R;bMN                                            ","very bright bar;singular loop westw                                                   "
"NGC 7070         ","ESO 287-28        ","GALXY","GRU","21 30.4","-43 05","12.3","13.7","413","23","   2.4 m","   1.9 m","   ","SBc        ","    ","     ","    ","F;cL;lE;gvlbM;p of 2                                   ","                                                                                      "
"NGC 7072A        ","ESO 287-29        ","GALXY","GRU","21 30.4","-43 12","13.9","12.9","413","23","   0.8 m","   0.6 m","125","SBc        ","    ","     ","    ","                                                       ","                                                                                      "
"NGC 7072         ","ESO 287-31        ","GALXY","GRU","21 30.6","-43 09","13.7","12.9","413","23","   0.9 m","   0.7 m","90 ","SBcd       ","    ","     ","    ","F;S;R;vglbM;f of 2                                     ","                                                                                      "
"NGC 7075         ","ESO 343- 4        ","GALXY","GRU","21 31.5","-38 37","12.7","12.7","382","23","   1.2 m","   0.9 m","116","Elliptical ","    ","     ","    ","cF;cS;R;pgbM                                           ","                                                                                      "
"NGC 7070A        ","ESO 287-34        ","GALXY","GRU","21 31.8","-42 51","12.3","13.3","413","23","   2.1 m","   1.9 m","167","Sa         ","    ","     ","    ","                                                       ","                                                                                      "
"NGC 7079         ","ESO 287-36        ","GALXY","GRU","21 32.6","-44 04","11.6","12.6","413","23","   2   m","   1.2 m","82 ","SBO        ","    ","     ","    ","B;R;cS;psbM                                            ","                                                                                      "
"NGC 7091         ","IC 5114           ","GALXY","GRU","21 34.1","-36 39","12.9","14.1","382","23","   2.1 m","   1.7 m","   ","SBd        ","    ","     ","    ","eF;pL;vgbM;*6f40''                                     ","                                                                                      "
"NGC 7087         ","ESO 343- 8        ","GALXY","GRU","21 34.6","-40 49","13.0","12.5","413","23","   1.1 m","   0.6 m","39 ","Sab        ","    ","     ","    ","cF;S;R;gbM                                             ","                                                                                      "
"NGC 7097         ","ESO 287-48        ","GALXY","GRU","21 40.2","-42 32","11.7","12.7","413","23","   1.8 m","   1.2 m","20 ","Elliptical ","    ","     ","    ","B;S;vlE;mbM                                            ","                                                                                      "
"NGC 7097A        ","ESO 287-49        ","GALXY","GRU","21 40.6","-42 29","14.3","13.1","413","23","   0.6 m","   0.4 m","134","Elliptical ","    ","     ","    ","                                                       ","                                                                                      "
"NGC 7107         ","ESO 287-52        ","GALXY","GRU","21 42.4","-44 48","12.8","13.8","413","23","   2.1 m","   1.5 m","   ","SBd        ","    ","     ","    ","vF;cL;R;vglbM                                          ","                                                                                      "
"NGC 7117         ","ESO 236-40        ","GALXY","GRU","21 45.8","-48 25","12.8","12.9","413","23","   1.4 m","   0.8 m","27 ","E-SO       ","    ","     ","    ","F;S;R;glbM;p of 2                                      ","                                                                                      "
"NGC 7118         ","ESO 236-45        ","GALXY","GRU","21 46.2","-48 21","12.6","13  ","413","23","   1.4 m","   1.1 m","50 ","E-SO       ","    ","     ","    ","F;S;R;glbM;f of 2                                      ","                                                                                      "
"NGC 7119B        ","NGC 7119-2        ","GALXY","GRU","21 46.2","-46 31","13.0","10.9","413","23","   1.1 m","   0.5 m","22 ","Sc         ","    ","     ","    ","                                                       ","                                                                                      "
